poi_id_1,poi_id_2,poi_name_1,poi_name_2,distance
69,138,Kids Home,king Abdullah financial center,
69,280,Kids Home,Financial Plaza,296.324475899825
69,186,Kids Home,AMC cinema,272.4252671056165
69,184,Kids Home,KAFD Helipad,448.74635556312717
69,106,Kids Home,sidf Academy,
69,606,Kids Home,Waiting Lobby,448.4685057869823
69,1,Kids Home,Nouf Alsudairi abayas,28.310554987807798
69,279,Kids Home,Toby's Estate,233.79993694327413
69,276,Kids Home,Zaadna Line,239.16371513741998
69,37,Kids Home,Little Flora,273.43392380963195
69,34,Kids Home,Lagate,274.0809985347719
69,156,Kids Home,trading tower,544.7589421179451
69,164,Kids Home,Saudi Downtown Company,
69,7,Kids Home,Ameenah Oud,52.66474728543427
69,101,Kids Home,Kunooz,220.72267197743608
69,277,Kids Home,Bloom,
69,598,Kids Home,Bianca,
69,10,Kids Home,Male WC-1st-5.07,15.27179357841966
69,36,Kids Home,Male Toilet-1st-3.05,277.9484396403262
69,286,Kids Home,Toilet,143.30796937664687
69,328,Kids Home,toilet Male & Female,167.56036667477463
69,329,Kids Home,toilet Male & Female,350.7764619713582
69,28,Kids Home,Male Toilet-entrance-building-5.08,50.715454626555115
69,9,Kids Home,Female WC-1st-5.07,17.77044430792175
69,496,Kids Home,KAFD Grand Mosque Female WC,86.69059424522636
69,4,Kids Home,5.07-GF Male WC,108.82244405731309
69,495,Kids Home,KAFD Grand Mosque Male WC,
69,596,Kids Home,Male Toilet,112.01268979441252
69,599,Kids Home,Female Toilet,377.02941275142416
69,600,Kids Home,Male Toilet,384.999627575775
69,29,Kids Home,Female Toilet-entrance-Building-5.08,50.715454626555115
46,69,Banoon Day Care,Kids Home,
46,39,Banoon Day Care,Banoon Day Care,
46,20,Banoon Day Care,Lasuhran Spa,
46,119,Banoon Day Care,KAFD Metro Station,
46,118,Banoon Day Care,Aramco,
46,126,Banoon Day Care,king Abdullah financial center,
46,131,Banoon Day Care,Muqarnas Tower Parcel 1.09,
46,140,Banoon Day Care,The Steps,
46,281,Banoon Day Care,PIF,
46,604,Banoon Day Care,TADAWUL TOWER,
46,168,Banoon Day Care,Roland Berger,
46,169,Banoon Day Care,Saudi Venture Capital Company,
46,170,Banoon Day Care,Real Estate Registry,
46,171,Banoon Day Care,Fund Of Funds,
